Label,Message
spam,Congratulations! You've won a free ticket to the Bahamas! Call now to claim your prize.
ham,"Hey, are we still on for lunch tomorrow?"
spam,You have been selected to receive a $1000 Walmart gift card. Click here to claim it now.
ham,Can you send me the report by 5 PM today?
spam,Exclusive offer! Get 50% off on your next purchase. Limited time only!
ham,Don't forget about the meeting at 10 AM tomorrow.
spam,URGENT: Your account has been compromised. Click the link to secure it.
ham,Happy birthday! Hope you have a great day.
spam,Win a brand new iPhone! Participate in our survey and get a chance to win.
ham,Can you help me with the presentation for the next meeting?
